source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp
684904209766220544,133.88027161583528,20.566406433719635,1.6927495625431324,-3.131407184758022,-8.349718515804552,19.805208,2.557106
684918026672509568,133.69548217216578,20.659993393362534,1.1711549320743595,-27.728535000201067,-8.599924767026874,19.044004,2.593338
684909913479002240,134.1035336059479,20.72208663101639,1.6593970990848197,-3.134832302228754,-8.429155469622001,20.662283,2.1999264
684928536456355968,134.07556825303507,20.916191963874855,1.3241612558890445,-15.246172425952974,-12.317117041432926,19.117983,2.5785484
684929464169297408,134.0532998411834,20.95179864218001,3.4355303510628454,-11.266357580018116,-26.822581966282783,18.337572,2.843254
684928605175832832,134.0686519325221,20.91718195418085,1.303344940441457,6.643771150022685,-7.714102698405376,19.160923,1.9287014
684929601608251136,134.01443259390433,20.95321404633926,4.496859014104818,-30.87009330737057,-11.024848813465013,18.876331,2.7692356
684853804026424064,134.1775376936978,20.530472861302364,3.2837764640764195,0.4034011708741039,-12.599887699557728,20.52555,1.3764133
684931731912028544,133.8454787849129,20.942294988840217,2.887129413093668,9.560174746755221,-0.387283015512043,17.569963,2.627222
684851781096940032,133.98154717682021,20.399984071327804,1.218738008627139,-6.109474753838491,-10.464492838300739,15.99634,1.2684917
684834738666036224,134.19841647362358,20.285759962024475,0.8087909906609605,-8.574411501052348,0.4466131100356842,16.986109,1.2333298
684927746183142144,134.06764222027647,20.861311456588442,2.4418055830770924,-0.0019622640270954006,0.9741935404087789,20.537697,1.5569096
684850647225573632,134.04071488487148,20.366042415542758,0.9608995959322761,1.124098250563049,-0.44434228143425286,17.632542,1.631012
684925787677267968,133.94492452284695,20.792354572565635,6.020162941582546,-24.83396681846923,-0.38630404169660537,17.123064,2.70395
684925787677268352,133.94903979469333,20.797513932818564,1.0251577322575587,-16.699534975940587,-0.25169043451804585,18.176142,1.6078739
