source_id,ra,dec,parallax,parallax_over_error,pmra,pmdec,phot_g_mean_flux_over_error,phot_g_mean_mag,bp_rp
441415508666161152,51.90767059452494,48.991221153546626,5.782850333943249,151.39711,23.550519934849216,-25.553572416362467,2782.723,10.424097,0.7860451
441358776436543488,51.317771868626316,48.373195013318494,5.787984591232853,148.24911,23.59319661643891,-26.670373676836114,1158.2412,12.002464999999999,1.1115903999999999
441401730411085312,52.120469104567825,48.90405161645641,5.791648190857438,46.724358,23.55109169230807,-26.618443887499836,748.9817,17.57241,3.198122
441402795562969728,52.055877463124546,48.93750326705801,5.877506997571082,74.60435,23.187726878300662,-26.52773172421433,915.77844,16.476175,3.0631132
441363140123581184,51.608610764258,48.45922486607142,5.473452450290009,49.967075,22.188169651781827,-24.633899185545225,817.7909,17.162657,3.1243286
441389494043297920,51.88061283264886,48.65634265754385,5.532481568444948,11.188516,23.74132892537297,-26.24679322641648,257.9851,19.245295000000002,3.522543
441382557676778624,51.55929226439227,48.71050886292535,5.593430145528218,101.054214,23.59373728640397,-25.259809674313864,1606.7499,15.188054999999999,2.4307861
441401936569499136,52.131428494626704,48.9408056952454,5.7151775396811715,154.70821999999998,23.38162875770428,-25.64885370086897,5508.844,9.647072999999999,0.6266136
441398565014885120,52.182293034971416,48.87788313632737,5.7539774203987575,19.351833,22.39509685863798,-26.06498929637249,379.33914,19.166948,2.9423084
441361529517032832,51.474949820311096,48.51904393824614,5.619562882680309,148.55013,23.433300927618152,-25.624268340042786,451.62737999999996,12.770141,1.351924
441383176152457984,51.66998395358795,48.776781649922114,5.690098369109707,150.14713,23.530258072144665,-24.951252613293143,4392.081,9.629821000000002,0.6577234000000001
441378159630386816,51.24692094373106,48.6194478183826,5.708879439274943,226.64787,23.8381325308984,-24.281013374479066,942.3479,14.066348000000001,1.9096898999999998
435394686069704320,49.90782360768937,48.14386949484682,5.6676322245303785,59.903652,23.449157149563565,-24.370584881453336,628.35596,16.638792000000002,3.1343307
435369843979002880,51.09416343781112,48.40713020978583,5.850553330005102,59.69534300000001,24.0461761773462,-24.856270860692142,793.0794,16.820999999999998,3.0017099999999997
435429011448232064,50.37613334504146,48.49374895857869,5.743241375117563,147.92983999999998,23.215886233453848,-25.175429406006664,5205.354,9.080627999999999,0.54698277
435405303228775680,50.27728767151024,48.436753190595205,5.699554401168928,165.49913,23.710319278159986,-25.5080296532059,484.16965,12.609169,1.312088
435357646272046848,50.884965383693455,48.18701057456211,5.679666814775082,61.796505,23.904414477434567,-26.439132034140172,939.8489400000001,16.820194,3.1217966
