logAge   ,Mass,Gmag,BPmag,RPmag,bp_rp
7.5,8.921,-5.833,-5.469,-6.348,0.8789999999999996
7.5,8.921,-5.843,-5.492,-6.346,0.8540000000000001
7.5,8.921,-5.852,-5.511,-6.343,0.8319999999999999
7.5,8.921,-5.855,-5.519,-6.341,0.8220000000000001
7.5,8.921,-5.858,-5.526,-6.34,0.8140000000000001
7.5,8.922,-5.861,-5.534,-6.338,0.8040000000000003
7.5,8.922,-5.864,-5.539,-6.337,0.798
7.5,8.922,-5.866,-5.545,-6.336,0.7910000000000004
7.5,8.922,-5.868,-5.55,-6.335,0.7850000000000001
7.5,8.922,-5.871,-5.556,-6.333,0.7770000000000001
7.5,8.922,-5.873,-5.562,-6.332,0.7699999999999996
7.5,8.922,-5.876,-5.569,-6.33,0.7610000000000001
7.5,8.922,-5.878,-5.576,-6.328,0.7520000000000007
7.5,8.922,-5.882,-5.586,-6.325,0.7389999999999999
7.5,8.922,-5.887,-5.599,-6.321,0.7219999999999995
7.5,8.923,-5.893,-5.616,-6.314,0.6980000000000004
7.5,8.923,-5.901,-5.638,-6.304,0.6660000000000004
7.5,8.928,-5.954,-5.811,-6.191,0.3799999999999999
7.5,8.933,-5.948,-5.781,-6.223,0.44200000000000017
7.5,8.936,-5.943,-5.754,-6.249,0.4950000000000001
7.5,8.939,-5.934,-5.715,-6.281,0.5659999999999998
7.5,8.942,-5.924,-5.678,-6.305,0.6269999999999998
7.5,8.944,-5.907,-5.622,-6.337,0.7149999999999999
7.5,8.946,-5.885,-5.561,-6.359,0.798
7.5,8.948,-5.863,-5.504,-6.373,0.8690000000000007
7.5,8.95,-5.836,-5.439,-6.383,0.944
7.5,8.951,-5.806,-5.375,-6.384,1.0090000000000003
7.5,8.952,-5.76,-5.286,-6.374,1.088
7.5,8.953,-5.718,-5.212,-6.361,1.149
7.5,8.954,-5.672,-5.133,-6.34,1.2069999999999999
7.5,8.955,-5.624,-5.058,-6.314,1.2560000000000002
7.5,8.955,-5.575,-4.981,-6.285,1.3040000000000003
7.5,8.956,-5.512,-4.885,-6.246,1.3610000000000007
7.5,8.956,-5.437,-4.773,-6.196,1.423
7.5,8.958,-5.322,-4.606,-6.117,1.5110000000000001
7.5,8.959,-5.192,-4.437,-6.01,1.5729999999999995
7.5,8.96,-5.081,-4.294,-5.919,1.625
7.5,8.961,-5.058,-4.261,-5.902,1.641
7.5,8.966,-5.038,-4.217,-5.896,1.6790000000000003
7.5,8.99,-4.985,-4.037,-5.91,1.8730000000000002
7.5,8.995,-5.011,-4.038,-5.947,1.9089999999999998
7.5,8.996,-5.02,-4.037,-5.962,1.9249999999999998
7.5,8.997,-5.041,-4.029,-5.995,1.9660000000000002
7.5,8.998,-5.088,-4.023,-6.066,2.043
7.5,8.999,-5.119,-4.013,-6.113,2.1000000000000005
7.5,8.999,-5.123,-4.008,-6.12,2.112
7.5,8.999,-5.128,-4.003,-6.128,2.125
7.5,9.0,-5.141,-3.992,-6.15,2.1580000000000004
7.5,9.001,-5.177,-3.964,-6.209,2.2449999999999997
7.5,9.001,-5.207,-3.913,-6.265,2.352
7.5,9.002,-5.235,-3.844,-6.322,2.478
7.5,9.003,-5.254,-3.771,-6.366,2.5949999999999998
7.5,9.004,-5.263,-3.686,-6.398,2.7119999999999997
7.5,9.006,-5.272,-3.572,-6.435,2.8629999999999995
7.5,9.009,-5.234,-3.1,-6.475,3.3749999999999996
7.5,9.02,-5.182,-2.787,-6.458,3.6710000000000003
7.5,9.025,-5.156,-2.684,-6.441,3.7569999999999997
7.5,9.027,-5.16,-2.697,-6.444,3.747
7.5,9.028,-5.163,-2.705,-6.446,3.7409999999999997
7.5,9.029,-5.165,-2.712,-6.447,3.735
7.5,9.031,-5.169,-2.724,-6.45,3.726
7.5,9.034,-5.175,-2.744,-6.455,3.711
7.5,9.039,-5.186,-2.779,-6.464,3.6850000000000005
7.5,9.041,-5.191,-2.795,-6.468,3.673
7.5,9.045,-5.2,-2.82,-6.474,3.6540000000000004
7.6,0.09,12.972,15.708,11.635,4.073
7.6,0.091,12.962,15.697,11.625,4.071999999999999
7.6,0.1,12.79,15.528,11.453,4.075000000000001
7.6,0.1,12.79,15.528,11.453,4.075000000000001
7.6,0.115,12.541,15.282,11.203,4.079000000000001
7.6,0.12,12.472,15.215,11.135,4.08
7.6,0.121,12.455,15.197,11.117,4.079999999999998
7.6,0.14,12.082,14.661,10.763,3.8979999999999997
7.6,0.16,11.731,14.143,10.432,3.7110000000000003
7.6,0.176,11.492,13.8,10.207,3.593
7.6,0.207,11.086,13.219,9.827,3.3919999999999995
7.6,0.227,10.874,12.918,9.63,3.2879999999999985
7.6,0.24,10.737,12.727,9.501,3.226000000000001
7.6,0.25,10.645,12.598,9.416,3.1820000000000004
7.6,0.258,10.573,12.499,9.349,3.1500000000000004
7.6,0.263,10.524,12.433,9.304,3.1289999999999996
7.6,0.292,10.281,12.102,9.077,3.0250000000000004
7.6,0.3,10.221,12.02,9.022,2.9979999999999993
7.6,0.316,10.104,11.859,8.915,2.944000000000001
7.6,0.35,9.877,11.55,8.706,2.844000000000001
7.6,0.353,9.862,11.53,8.691,2.8389999999999986
7.6,0.4,9.589,11.18,8.436,2.7439999999999998
7.6,0.45,9.326,10.84,8.193,2.6470000000000002
7.6,0.5,9.056,10.494,7.945,2.5489999999999995
7.6,0.5,9.054,10.491,7.943,2.548
7.6,0.515,8.977,10.392,7.873,2.5189999999999992
7.6,0.546,8.816,10.189,7.724,2.465
7.6,0.55,8.795,10.162,7.705,2.4570000000000007
7.6,0.586,8.588,9.9,7.516,2.3840000000000003
7.6,0.6,8.509,9.8,7.443,2.357000000000001
7.6,0.624,8.354,9.6,7.305,2.295
7.6,0.65,8.179,9.371,7.149,2.2220000000000004
7.6,0.66,8.106,9.274,7.087,2.1869999999999994
7.6,0.667,8.048,9.195,7.035,2.16
7.6,0.697,7.762,8.815,6.79,2.0249999999999995
7.6,0.7,7.724,8.765,6.757,2.008000000000001
7.6,0.725,7.243,8.09,6.372,1.718
7.6,0.743,6.922,7.653,6.117,1.5359999999999996
7.6,0.75,6.802,7.493,6.022,1.471
7.6,0.767,6.637,7.294,5.88,1.4139999999999997
7.6,0.8,6.29,6.877,5.581,1.2959999999999994
7.6,0.815,6.123,6.677,5.438,1.2389999999999999
7.6,0.844,5.823,6.32,5.182,1.138
7.6,0.85,5.77,6.259,5.138,1.1210000000000004
7.6,0.856,5.712,6.19,5.088,1.1020000000000003
7.6,0.865,5.621,6.084,5.01,1.0739999999999998
7.6,0.899,5.422,5.851,4.84,1.0110000000000001
7.6,0.908,5.375,5.797,4.8,0.9969999999999999
7.6,0.944,5.205,5.597,4.656,0.9410000000000007
7.6,0.95,5.185,5.574,4.64,0.9340000000000002
7.6,1.0,5.011,5.374,4.49,0.8839999999999995
7.6,1.019,4.956,5.311,4.443,0.8680000000000003
7.6,1.05,4.84,5.182,4.339,0.843
7.6,1.064,4.793,5.129,4.297,0.8319999999999999
7.6,1.099,4.624,4.942,4.147,0.7949999999999999
7.6,1.149,4.395,4.69,3.941,0.7490000000000006
7.6,1.192,4.157,4.428,3.729,0.6989999999999998
7.6,1.2,4.126,4.394,3.701,0.6930000000000001
7.6,1.202,4.112,4.379,3.689,0.6899999999999995
7.6,1.246,3.943,4.196,3.536,0.6599999999999997
7.6,1.25,3.906,4.154,3.506,0.6480000000000001
7.6,1.274,3.799,4.035,3.41,0.625
7.6,1.3,3.685,3.91,3.311,0.5990000000000002
7.6,1.313,3.626,3.845,3.26,0.5850000000000004
7.6,1.35,3.483,3.691,3.132,0.5589999999999997
7.6,1.4,3.302,3.493,2.973,0.52
7.6,1.45,3.132,3.307,2.824,0.4830000000000001
7.6,1.5,2.97,3.13,2.686,0.44399999999999995
7.6,1.55,2.818,2.961,2.561,0.3999999999999999
7.6,1.6,2.675,2.799,2.448,0.351
7.6,1.649,2.537,2.643,2.34,0.30299999999999994
7.6,1.674,2.471,2.569,2.29,0.2789999999999999
7.6,1.699,2.409,2.498,2.242,0.2560000000000002
7.6,1.724,2.347,2.429,2.195,0.23399999999999999
7.6,1.749,2.289,2.363,2.151,0.2120000000000002
7.6,1.774,2.229,2.296,2.105,0.19099999999999984
7.6,1.799,2.173,2.232,2.062,0.17000000000000037
7.6,1.824,2.121,2.174,2.022,0.15200000000000014
7.6,1.849,2.069,2.114,1.982,0.1319999999999999
7.6,1.874,2.019,2.059,1.943,0.1160000000000001
7.6,1.899,1.971,2.005,1.906,0.09899999999999998
7.6,1.924,1.924,1.953,1.868,0.08499999999999996
7.6,1.947,1.883,1.908,1.836,0.07199999999999984
7.6,1.993,1.804,1.821,1.771,0.050000000000000044
7.6,2.038,1.73,1.74,1.71,0.030000000000000027
7.6,2.083,1.66,1.663,1.651,0.01200000000000001
7.6,2.129,1.594,1.591,1.595,-0.0040000000000000036
7.6,2.174,1.53,1.523,1.541,-0.018000000000000016
7.6,2.219,1.469,1.457,1.488,-0.030999999999999917
7.6,2.265,1.409,1.392,1.435,-0.04300000000000015
7.6,2.356,1.294,1.27,1.333,-0.06299999999999994
7.6,2.538,1.081,1.044,1.139,-0.09499999999999997
7.6,2.72,0.881,0.833,0.954,-0.121
7.6,2.902,0.694,0.637,0.779,-0.14200000000000002
7.6,3.084,0.519,0.453,0.614,-0.16099999999999998
7.6,3.266,0.354,0.28,0.457,-0.177
7.6,3.447,0.198,0.117,0.309,-0.192
7.6,3.576,0.092,0.006,0.209,-0.20299999999999999
7.6,3.629,0.049,-0.038,0.168,-0.20600000000000002
7.6,3.812,-0.093,-0.187,0.033,-0.22
7.6,3.858,-0.127,-0.223,0.0,-0.223
7.6,3.997,-0.23,-0.329,-0.097,-0.232
7.6,4.081,-0.292,-0.393,-0.156,-0.23700000000000002
7.6,4.177,-0.362,-0.466,-0.223,-0.24300000000000002
7.6,4.329,-0.471,-0.579,-0.326,-0.25299999999999995
7.6,4.358,-0.491,-0.6,-0.345,-0.255
7.6,4.411,-0.528,-0.639,-0.381,-0.258
7.6,4.539,-0.617,-0.731,-0.466,-0.26499999999999996
7.6,4.646,-0.69,-0.807,-0.536,-0.271
