logAge   ,Mass,Gmag,BPmag,RPmag
7.50000,8.797000,-5.8390,-5.7300,-6.0210
7.50000,8.797000,-5.8340,-5.7410,-5.9880
7.50000,8.798000,-5.8280,-5.7500,-5.9550
7.50000,8.800000,-5.8170,-5.7570,-5.9140
7.50000,8.803000,-5.8000,-5.7560,-5.8700
7.50000,8.807000,-5.7780,-5.7470,-5.8270
7.50000,8.811000,-5.7560,-5.7330,-5.7910
7.50000,8.820000,-5.7320,-5.7170,-5.7560
7.50000,8.824000,-5.7430,-5.7260,-5.7680
7.50000,8.838000,-5.7880,-5.7620,-5.8260
7.50000,8.845000,-5.8180,-5.7850,-5.8690
7.50000,8.856000,-5.8530,-5.8070,-5.9240
7.50000,8.865000,-5.8750,-5.8200,-5.9650
7.50000,8.873000,-5.8930,-5.8260,-6.0050
7.50000,8.880000,-5.9050,-5.8250,-6.0390
7.50000,8.886000,-5.9140,-5.8190,-6.0720
7.50000,8.891000,-5.9190,-5.8070,-6.1060
7.50000,8.895000,-5.9200,-5.7890,-6.1380
7.50000,8.898000,-5.9190,-5.7690,-6.1680
7.50000,8.902000,-5.9150,-5.7370,-6.2040
7.50000,8.905000,-5.9070,-5.7000,-6.2380
7.50000,8.907000,-5.8980,-5.6660,-6.2610
7.50000,8.910000,-5.8820,-5.6130,-6.2920
7.50000,8.912000,-5.8650,-5.5610,-6.3160
7.50000,8.914000,-5.8390,-5.4920,-6.3360
7.50000,8.915000,-5.8130,-5.4310,-6.3460
7.50000,8.917000,-5.7760,-5.3500,-6.3500
7.50000,8.918000,-5.7410,-5.2810,-6.3440
7.50000,8.919000,-5.7610,-5.3180,-6.3490
7.50000,8.920000,-5.7950,-5.3840,-6.3540
7.50000,8.920000,-5.8240,-5.4490,-6.3510
7.50000,8.921000,-5.8330,-5.4690,-6.3480
7.50000,8.921000,-5.8430,-5.4920,-6.3460
7.50000,8.921000,-5.8520,-5.5110,-6.3430
7.50000,8.921000,-5.8550,-5.5190,-6.3410
7.50000,8.921000,-5.8580,-5.5260,-6.3400
7.50000,8.922000,-5.8610,-5.5340,-6.3380
7.50000,8.922000,-5.8640,-5.5390,-6.3370
7.50000,8.922000,-5.8660,-5.5450,-6.3360
7.50000,8.922000,-5.8680,-5.5500,-6.3350
7.50000,8.922000,-5.8710,-5.5560,-6.3330
7.50000,8.922000,-5.8730,-5.5620,-6.3320
7.50000,8.922000,-5.8760,-5.5690,-6.3300
7.50000,8.922000,-5.8780,-5.5760,-6.3280
7.50000,8.922000,-5.8820,-5.5860,-6.3250
7.50000,8.922000,-5.8870,-5.5990,-6.3210
7.50000,8.923000,-5.8930,-5.6160,-6.3140
7.50000,8.923000,-5.9010,-5.6380,-6.3040
7.50000,8.928000,-5.9540,-5.8110,-6.1910
7.50000,8.933000,-5.9480,-5.7810,-6.2230
7.50000,8.936000,-5.9430,-5.7540,-6.2490
7.50000,8.939000,-5.9340,-5.7150,-6.2810
7.50000,8.942000,-5.9240,-5.6780,-6.3050
7.50000,8.944000,-5.9070,-5.6220,-6.3370
7.50000,8.946000,-5.8850,-5.5610,-6.3590
